"","genenames"
"440","MYCBP"
"441","AKIRIN1"
"442","NDUFS5"
"443","MACF1"
"444","RP11-69E11.4"
"445","PABPC4"
"446","HPCAL4"
"447","PPIE"
"448","BMP8B"
"449","RP1-118J21.25"
"450","TRIT1"
"451","MYCL"
"452","MFSD2A"
"453","CAP1"
"454","PPT1"
"455","RLF"
"456","RP1-39G22.7"
"457","ZMPSTE24"
"458","COL9A2"
"459","SMAP2"
"460","ZFP69B"
"461","ZFP69"
"462","RP11-656D10.3"
"463","EXO5"
"464","ZNF684"
"465","RIMS3"
"466","NFYC-AS1"
"467","NFYC"
"468","CITED4"
"469","CTPS1"
"470","SCMH1"
"471","HIVEP3"
"472","FOXJ3"
"473","RIMKLA"
"474","ZMYND12"
"475","PPCS"
"476","CCDC30"
"477","PPIH"
"478","RP5-994D16.3"
"479","YBX1"
"480","P3H1"
"481","C1orf50"
"482","SVBP"
"483","ERMAP"
"484","RP11-342M1.3"
"485","ZNF691"
"486","SLC2A1"
"487","SLC2A1-AS1"
"488","EBNA1BP2"
"489","TMEM125"
"490","TIE1"
"491","RP1-92O14.3"
"492","CDC20"
"493","ELOVL1"
"494","MED8"
"495","SZT2"
"496","HYI"
"497","HYI-AS1"
"498","PTPRF"
"499","KDM4A"
"500","KDM4A-AS1"
"501","ST3GAL3"
"502","RP11-7O11.3"
"503","IPO13"
"504","DPH2"
"505","ATP6V0B"
"506","B4GALT2"
"507","CCDC24"
"508","SLC6A9"
"509","RP5-1198O20.4"
"510","DMAP1"
"511","ERI3"
"512","RNF220"
"513","TMEM53"
"514","C1orf228"
"515","KIF2C"
"516","RP11-269F19.2"
"517","RPS8"
"518","BEST4"
"519","PLK3"
"520","TCTEX1D4"
"521","BTBD19"
"522","PTCH2"
"523","EIF2B3"
"524","HECTD3"
"525","UROD"
"526","ZSWIM5"
"527","LINC01144"
"528","HPDL"
"529","MUTYH"
"530","TOE1"
"531","TESK2"
"532","CCDC163P"
"533","MMACHC"
"534","PRDX1"
"535","AKR1A1"
"536","NASP"
"537","CCDC17"
"538","GPBP1L1"
"539","TMEM69"
"540","IPP"
"541","MAST2"
"542","PIK3R3"
"543","POMGNT1"
"544","LURAP1"
"545","RAD54L"
"546","LRRC41"
"547","UQCRH"
