"","genenames"
"9456","SLIT1"
"9457","ARHGAP19"
"9458","FRAT1"
"9459","FRAT2"
"9460","RP11-452K12.4"
"9461","RRP12"
"9462","PGAM1"
"9463","EXOSC1"
"9464","ZDHHC16"
"9465","MMS19"
"9466","UBTD1"
"9467","MORN4"
"9468","PI4K2A"
"9469","AVPI1"
"9470","MARVELD1"
"9471","ZFYVE27"
"9472","GOLGA7B"
"9473","R3HCC1L"
"9474","PYROXD2"
"9475","HPS1"
"9476","CNNM1"
"9477","GOT1"
"9478","RP11-441O15.3"
"9479","NKX2-3"
"9480","SLC25A28"
"9481","RP11-85A1.3"
"9482","RP11-483F11.7"
"9483","ENTPD7"
"9484","CUTC"
"9485","COX15"
"9486","DNMBP"
"9487","DNMBP-AS1"
"9488","ERLIN1"
"9489","CHUK"
"9490","CWF19L1"
"9491","BLOC1S2"
"9492","SCD"
"9493","OLMALINC"
"9494","SEC31B"
"9495","NDUFB8"
"9496","HIF1AN"
"9497","RP11-179B2.2"
"9498","SLF2"
"9499","MRPL43"
"9500","C10orf2"
"9501","LZTS2"
"9502","PDZD7"
"9503","SFXN3"
"9504","RP11-108L7.15"
"9505","KAZALD1"
"9506","BTRC"
"9507","DPCD"
"9508","POLL"
"9509","FBXW4"
"9510","NPM3"
"9511","MGEA5"
"9512","KCNIP2"
"9513","C10orf76"
"9514","HPS6"
"9515","LDB1"
"9516","PPRC1"
"9517","NOLC1"
"9518","ELOVL3"
"9519","GBF1"
"9520","NFKB2"
"9521","PSD"
"9522","FBXL15"
"9523","CUEDC2"
"9524","C10orf95"
"9525","MFSD13A"
"9526","ACTR1A"
"9527","SUFU"
"9528","RP11-47A8.5"
"9529","TRIM8"
"9530","ARL3"
"9531","SFXN2"
"9532","WBP1L"
"9533","CYP17A1-AS1"
"9534","BORCS7"
"9535","CNNM2"
"9536","NT5C2"
"9537","PCGF6"
"9538","TAF5"
"9539","USMG5"
"9540","PDCD11"
"9541","CALHM2"
"9542","NEURL1"
"9543","SH3PXD2A"
"9544","RP11-416N2.4"
"9545","OBFC1"
"9546","SLK"
"9547","SFR1"
"9548","GSTO1"
"9549","GSTO2"
"9550","ITPRIP"
"9551","SORCS3"
"9552","XPNPEP1"
"9553","ADD3"
"9554","MXI1"
"9555","SMNDC1"
"9556","DUSP5"
"9557","SMC3"
"9558","PDCD4-AS1"
"9559","PDCD4"
"9560","BBIP1"
"9561","RP11-348N5.9"
"9562","RP11-348N5.7"
"9563","SHOC2"
"9564","GPAM"
"9565","ACSL5"
"9566","RP11-324O2.3"
"9567","ZDHHC6"
"9568","VTI1A"
"9569","TCF7L2"
"9570","RP11-57H14.2"
"9571","CASP7"
"9572","DCLRE1A"
"9573","NHLRC2"
"9574","ADRB1"
"9575","CCDC186"
"9576","TDRD1"
"9577","AFAP1L2"
"9578","ABLIM1"
"9579","FAM160B1"
"9580","TRUB1"
"9581","RP11-539I5.1"
"9582","SHTN1"
"9583","RP11-501J20.5"
"9584","SLC18A2"
"9585","RP11-129M16.4"
"9586","PDZD8"
"9587","RAB11FIP2"
"9588","FAM204A"
"9589","CACUL1"
"9590","NANOS1"
"9591","EIF3A"
"9592","FAM45A"
"9593","SFXN4"
"9594","PRDX3"
"9595","GRK5"
"9596","RGS10"
"9597","TIAL1"
"9598","BAG3"
"9599","INPP5F"
"9600","MCMBP"
"9601","SEC23IP"
"9602","PLPP4"
"9603","WDR11-AS1"
"9604","WDR11"
"9605","ATE1"
"9606","ATE1-AS1"
"9607","NSMCE4A"
"9608","PLEKHA1"
"9609","HTRA1"
"9610","CUZD1"
"9611","FAM24B"
"9612","C10orf88"
"9613","PSTK"
"9614","IKZF5"
"9615","ACADSB"
"9616","BUB3"
"9617","CHST15"
"9618","OAT"
"9619","LHPP"
"9620","FAM53B"
"9621","METTL10"
"9622","FAM175B"
"9623","ZRANB1"
"9624","RP11-298J20.3"
"9625","CTBP2"
"9626","FLJ37035"
"9627","EDRF1"
"9628","UROS"
"9629","BCCIP"
"9630","DHX32"
"9631","FANK1"
"9632","ADAM12"
"9633","DOCK1"
"9634","PTPRE"
"9635","MKI67"
"9636","RP11-264E18.1"
"9637","MGMT"
"9638","LINC00959"
"9639","GLRX3"
"9640","PPP2R2D"
"9641","BNIP3"
"9642","RP11-45A17.2"
"9643","RP11-45A17.4"
"9644","STK32C"
"9645","LRRC27"
"9646","PWWP2B"
"9647","C10orf91"
"9648","INPP5A"
"9649","UTF1"
"9650","VENTX"
"9651","ADAM8"
"9652","TUBGCP2"
"9653","ZNF511"
"9654","FUOM"
"9655","ECHS1"
"9656","PAOX"
"9657","MTG1"
"9658","CYP2E1"
"9659","RP11-108K14.12"
"9660","SYCE1"
"9661","IQSEC3"
"9662","RP11-598F7.3"
"9663","SLC6A12"
"9664","KDM5A"
"9665","CCDC77"
"9666","B4GALNT3"
"9667","NINJ2"
"9668","RP11-218M22.1"
"9669","WNK1"
"9670","RAD52"
"9671","RP11-359B12.2"
"9672","ERC1"
"9673","WNT5B"
"9674","FBXL14"
"9675","ADIPOR2"
"9676","CACNA2D4"
"9677","DCP1B"
"9678","CACNA1C"
"9679","CACNA1C-AS2"
"9680","CACNA1C-AS1"
"9681","FKBP4"
"9682","RP4-816N1.6"
"9683","ITFG2"
"9684","NRIP2"
"9685","FOXM1"
"9686","RHNO1"
"9687","TULP3"
"9688","CRACR2A"
"9689","PARP11"
"9690","RP11-664D1.1"
"9691","CCND2-AS1"
"9692","CCND2"
"9693","TIGAR"
"9694","C12orf4"
"9695","RAD51AP1"
"9696","DYRK4"
"9697","AKAP3"
"9698","NDUFA9"
"9699","KCNA5"
"9700","RP11-319E16.2"
"9701","VWF"
"9702","CD9"
"9703","PLEKHG6"
"9704","TNFRSF1A"
"9705","SCNN1A"
"9706","LTBR"
"9707","CD27"
"9708","TAPBPL"
"9709","VAMP1"
"9710","RP1-102E24.10"
"9711","MRPL51"
"9712","NCAPD2"
"9713","GAPDH"
"9714","RP5-940J5.9"
"9715","IFFO1"
"9716","NOP2"
"9717","CHD4"
"9718","RP5-940J5.6"
"9719","LPAR5"
"9720","ACRBP"
"9721","ING4"
"9722","ZNF384"
"9723","PIANP"
"9724","COPS7A"
"9725","RP4-761J14.10"
"9726","MLF2"
"9727","PTMS"
"9728","LAG3"
"9729","CD4"
"9730","GPR162"
"9731","P3H3"
"9732","GNB3"
"9733","CDCA3"
"9734","USP5"
"9735","TPI1"
"9736","SPSB2"
"9737","LRRC23"
"9738","ENO2"
"9739","ATN1"
"9740","C12orf57"
"9741","U47924.31"
"9742","PTPN6"
"9743","PHB2"
"9744","EMG1"
"9745","RP3-461F17.3"
"9746","LPCAT3"
"9747","C1S"
"9748","C1R"
"9749","C1RL"
"9750","C1RL-AS1"
"9751","RBP5"
"9752","CLSTN3"
"9753","PEX5"
"9754","CD163"
"9755","CLEC4C"
"9756","NANOG"
"9757","SLC2A14"
"9758","SLC2A3"
"9759","FOXJ2"
"9760","C3AR1"
"9761","NECAP1"
"9762","CLEC4A"
"9763","FAM66C"
"9764","RP11-266K4.14"
"9765","FAM90A1"
"9766","RP11-266K4.9"
"9767","LINC00937"
"9768","RP11-90D4.3"
"9769","CLEC6A"
"9770","CLEC4D"
"9771","CLEC4E"
"9772","RIMKLB"
"9773","RP11-20D14.6"
"9774","PHC1"
"9775","M6PR"
"9776","KLRG1"
"9777","A2M-AS1"
"9778","A2M"
"9779","PZP"
"9780","LINC00987"
"9781","RP11-118B22.4"
"9782","RP13-735L24.1"
"9783","KLRB1"
"9784","CLEC2D"
"9785","CLECL1"
"9786","CD69"
"9787","KLRF1"
"9788","CLEC2B"
"9789","RP11-290C10.1"
"9790","AC091814.2"
"9791","CLEC12A"
"9792","CLEC1B"
"9793","CLEC12B"
"9794","CLEC9A"
"9795","CLEC1A"
"9796","CLEC7A"
"9797","GABARAPL1"
"9798","KLRD1"
"9799","RP11-277P12.20"
"9800","KLRK1"
"9801","KLRC4"
"9802","KLRC2"
"9803","KLRC1"
"9804","EIF2S3L"
"9805","RP11-291B21.2"
"9806","MAGOHB"
"9807","STYK1"
"9808","YBX3"
"9809","PRH1"
"9810","PRR4"
"9811","TAS2R14"
"9812","TAS2R30"
"9813","SMIM10L1"
"9814","LINC01252"
"9815","ETV6"
"9816","BCL2L14"
"9817","LRP6"
"9818","MANSC1"
"9819","LOH12CR2"
"9820","BORCS5"
"9821","DUSP16"
"9822","CREBL2"
"9823","GPR19"
"9824","CDKN1B"
"9825","APOLD1"
"9826","DDX47"
"9827","GPRC5D"
"9828","HEBP1"
"9829","RP11-377D9.3"
"9830","FAM234B"
"9831","EMP1"
"9832","ATF7IP"
"9833","PLBD1"
"9834","GUCY2C"
"9835","HIST4H4"
"9836","H2AFJ"
"9837","WBP11"
"9838","C12orf60"
"9839","ART4"
"9840","MGP"
"9841","ERP27"
"9842","ARHGDIB"
"9843","PDE6H"
"9844","PTPRO"
"9845","EPS8"
"9846","STRAP"
"9847","DERA"
"9848","MGST1"
"9849","PLEKHA5"
"9850","AEBP2"
"9851","IAPP"
"9852","PYROXD1"
"9853","RECQL"
"9854","GOLT1B"
"9855","SPX"
"9856","LDHB"
"9857","CMAS"
"9858","ST8SIA1"
"9859","C2CD5"
"9860","ETNK1"
"9861","SOX5"
"9862","BCAT1"
"9863","LRMP"
"9864","CASC1"
"9865","LYRM5"
"9866","KRAS"
"9867","RP11-295I5.3"
"9868","RP11-707G18.1"
"9869","LMNTD1"
"9870","RASSF8-AS1"
"9871","RASSF8"
"9872","BHLHE41"
"9873","SSPN"
"9874","ITPR2"
"9875","ASUN"
"9876","FGFR1OP2"
"9877","TM7SF3"
"9878","MED21"
"9879","RP11-582E3.6"
"9880","STK38L"
"9881","ARNTL2"
"9882","ARNTL2-AS1"
"9883","PPFIBP1"
"9884","RP11-1060J15.4"
"9885","MRPS35"
"9886","KLHL42"
"9887","CCDC91"
"9888","RP11-967K21.1"
"9889","FAR2"
"9890","RP11-996F15.4"
"9891","RP11-996F15.2"
"9892","RP11-996F15.5"
"9893","RP11-996F15.6"
"9894","ERGIC2"
"9895","TMTC1"
"9896","IPO8"
"9897","CAPRIN2"
"9898","DDX11-AS1"
"9899","DDX11"
"9900","OVOS2"
"9901","FAM60A"
"9902","FLJ13224"
"9903","DENND5B"
"9904","METTL20"
"9905","AMN1"
"9906","RP11-467L13.7"
"9907","H3F3C"
"9908","RP11-428G5.5"
"9909","KIAA1551"
"9910","RP11-50I19.2"
"9911","BICD1"
"9912","FGD4"
"9913","DNM1L"
"9914","RP11-278C7.4"
"9915","YARS2"
"9916","PKP2"
"9917","ALG10"
"9918","ALG10B"
"9919","CPNE8"
"9920","RP11-396F22.1"
"9921","KIF21A"
"9922","ABCD2"
"9923","SLC2A13"
"9924","RP11-476D10.1"
"9925","AC079630.4"
"9926","LRRK2"
"9927","RP11-630C16.2"
"9928","GXYLT1"
"9929","YAF2"
"9930","PPHLN1"
"9931","ZCRB1"
"9932","PRICKLE1"
"9933","PUS7L"
"9934","IRAK4"
"9935","TWF1"
"9936","TMEM117"
"9937","NELL2"
"9938","ANO6"
"9939","RP11-352M15.2"
"9940","ARID2"
"9941","SCAF11"
"9942","SLC38A1"
"9943","SLC38A2"
"9944","RP11-96H19.1"
"9945","RP11-474P2.6"
"9946","RP11-446N19.1"
"9947","AMIGO2"
"9948","PCED1B"
"9949","RP11-493L12.3"
"9950","RP11-493L12.4"
"9951","RPAP3"
"9952","RP1-197B17.3"
"9953","RAPGEF3"
"9954","SLC48A1"
"9955","HDAC7"
"9956","RP5-1057I20.4"
"9957","VDR"
"9958","TMEM106C"
"9959","RP1-228P16.8"
"9960","SENP1"
"9961","PFKM"
"9962","ASB8"
"9963","RP11-370I10.12"
"9964","RP11-370I10.10"
"9965","ZNF641"
"9966","KANSL2"
"9967","CCNT1"
"9968","ADCY6"
"9969","CACNB3"
"9970","DDX23"
"9971","RND1"
"9972","RP11-302B13.5"
"9973","CCDC65"
"9974","FKBP11"
"9975","ARF3"
"9976","WNT10B"
"9977","DDN"
"9978","RP11-386G11.5"
"9979","PRKAG1"
"9980","KMT2D"
"9981","RHEBL1"
"9982","LMBR1L"
"9983","TUBA1B"
"9984","RP11-386G11.10"
"9985","TUBA1A"
"9986","TUBA1C"
"9987","RP11-977B10.2"
"9988","TROAP"
"9989","SPATS2"
"9990","KCNH3"
"9991","MCRS1"
"9992","PRPF40B"
"9993","FMNL3"
"9994","TMBIM6"
"9995","NCKAP5L"
"9996","BCDIN3D-AS1"
"9997","BCDIN3D"
"9998","RACGAP1"
"9999","SMARCD1"
"10000","COX14"
"10001","RP4-605O3.4"
"10002","CERS5"
"10003","LIMA1"
"10004","LARP4"
"10005","DIP2B"
"10006","ATF1"
"10007","METTL7A"
"10008","SLC11A2"
"10009","LETMD1"
"10010","CSRNP2"
"10011","TFCP2"
"10012","POU6F1"
"10013","DAZAP2"
"10014","SMAGP"
"10015","BIN2"
"10016","CELA1"
"10017","GALNT6"
"10018","SLC4A8"
"10019","RP11-923I11.3"
"10020","ACVRL1"
"10021","ACVR1B"
"10022","GRASP"
"10023","NR4A1"
"10024","ATG101"
"10025","RP11-1100L3.7"
"10026","KRT7"
"10027","KRT72"
"10028","KRT73-AS1"
"10029","KRT73"
"10030","KRT2"
"10031","KRT1"
"10032","KRT8"
"10033","KRT18"
"10034","EIF4B"
"10035","RP11-983P16.4"
"10036","TNS2"
"10037","SPRYD3"
"10038","IGFBP6"
"10039","SOAT2"
"10040","CSAD"
"10041","ZNF740"
"10042","ITGB7"
"10043","RARG"
"10044","MFSD5"
"10045","ESPL1"
"10046","PFDN5"
"10047","RP11-680A11.5"
"10048","C12orf10"
"10049","AAAS"
"10050","SP1"
"10051","AMHR2"
"10052","PRR13"
"10053","PCBP2"
"10054","MAP3K12"
"10055","RP11-793H13.11"
"10056","TARBP2"
"10057","RP11-793H13.10"
"10058","ATF7"
"10059","ATP5G2"
"10060","CALCOCO1"
"10061","HOXC4"
"10062","SMUG1"
"10063","CBX5"
"10064","HNRNPA1"
"10065","NFE2"
"10066","COPZ1"
"10067","GPR84"
"10068","ZNF385A"
"10069","ITGA5"
"10070","GTSF1"
"10071","NCKAP1L"
"10072","PDE1B"
"10073","TESPA1"
"10074","ITGA7"
"10075","BLOC1S1"
"10076","RDH5"
"10077","CD63"
"10078","RP11-644F5.11"
"10079","GDF11"
"10080","SARNP"
"10081","ORMDL2"
"10082","DNAJC14"
"10083","MMP19"
"10084","PYM1"
"10085","DGKA"
"10086","CDK2"
"10087","RAB5B"
"10088","SUOX"
"10089","IKZF4"
"10090","RPS26"
"10091","ERBB3"
"10092","PA2G4"
"10093","RP11-603J24.17"
"10094","RPL41"
"10095","ZC3H10"
"10096","ESYT1"
"10097","MYL6B"
"10098","MYL6"
"10099","SMARCC2"
"10100","RNF41"
"10101","NABP2"
"10102","ANKRD52"
"10103","COQ10A"
"10104","CS"
"10105","RP11-977G19.11"
"10106","RP11-977G19.12"
"10107","CNPY2"
"10108","PAN2"
"10109","IL23A"
"10110","STAT2"
"10111","TIMELESS"
"10112","SPRYD4"
"10113","GLS2"
"10114","RBMS2"
"10115","BAZ2A"
"10116","ATP5B"
"10117","PTGES3"
"10118","NACA"
"10119","PRIM1"
"10120","HSD17B6"
"10121","ZBTB39"
"10122","TAC3"
"10123","MYO1A"
"10124","NEMP1"
"10125","NAB2"
"10126","STAT6"
"10127","LRP1"
"10128","NXPH4"
"10129","SHMT2"
"10130","NDUFA4L2"
"10131","STAC3"
"10132","R3HDM2"
"10133","GLI1"
"10134","ARHGAP9"
"10135","MARS"
"10136","DDIT3"
"10137","MBD6"
"10138","DCTN2"
"10139","KIF5A"
"10140","PIP4K2C"
"10141","DTX3"
"10142","OS9"
"10143","RP11-571M6.7"
"10144","AGAP2"
"10145","TSPAN31"
"10146","CDK4"
"10147","MARCH9"
"10148","CYP27B1"
"10149","METTL1"
"10150","METTL21B"
"10151","TSFM"
"10152","AVIL"
"10153","RP11-571M6.17"
"10154","CTDSP2"
"10155","RP11-620J15.3"
"10156","XRCC6BP1"
"10157","SLC16A7"
"10158","FAM19A2"
"10159","USP15"
"10160","MON2"
"10161","LINC01465"
"10162","RP11-631N16.2"
"10163","RP11-631N16.4"
"10164","PPM1H"
"10165","DPY19L2"
"10166","TMEM5"
"10167","SRGAP1"
"10168","C12orf66"
"10169","XPOT"
"10170","TBK1"
"10171","RASSF3"
"10172","GNS"
"10173","TBC1D30"
"10174","LEMD3"
"10175","MSRB3"
"10176","HMGA2"
"10177","RP11-366L20.2"
"10178","LLPH"
"10179","TMBIM4"
"10180","IRAK3"
"10181","HELB"
"10182","GRIP1"
"10183","CAND1"
"10184","DYRK2"
"10185","IFNG-AS1"
"10186","IFNG"
"10187","MDM1"
"10188","RP11-81H14.2"
"10189","RAP1B"
"10190","RP11-637A17.2"
"10191","NUP107"
"10192","SLC35E3"
"10193","MDM2"
"10194","RP11-611O2.1"
"10195","CPM"
"10196","CPSF6"
"10197","RP11-1143G9.5"
"10198","LYZ"
"10199","RP11-1143G9.4"
"10200","YEATS4"
"10201","FRS2"
"10202","CCT2"
"10203","BEST3"
"10204","RP11-588G21.2"
"10205","RAB3IP"
"10206","LINC01481"
"10207","LINC01481.1"
"10208","CNOT2"
"10209","KCNMB4"
"10210","RP11-588H23.3"
"10211","ZFC3H1"
"10212","THAP2"
"10213","TMEM19"
"10214","RAB21"
"10215","RP11-2H8.2"
"10216","TBC1D15"
"10217","ATXN7L3B"
"10218","CAPS2"
"10219","GLIPR1L2"
"10220","GLIPR1"
"10221","RP11-585P4.5"
"10222","KRR1"
"10223","PHLDA1"
"10224","RP11-290L1.2"
"10225","NAP1L1"
"10226","BBS10"
"10227","OSBPL8"
"10228","RP11-20E24.1"
"10229","ZDHHC17"
"10230","CSRP2"
"10231","E2F7"
"10232","SYT1"
"10233","PAWR"
"10234","PPP1R12A"
"10235","RP11-84G21.1"
"10236","LIN7A"
"10237","CCDC59"
"10238","METTL25"
"10239","TMTC2"
"10240","C12orf29"
"10241","CEP290"
"10242","TMTC3"
"10243","DUSP6"
"10244","RP11-823E8.3"
"10245","POC1B"
"10246","RP11-734K2.4"
"10247","RP11-981P6.1"
"10248","ATP2B1"
"10249","LINC00936"
"10250","BTG1"
"10251","RP11-796E2.4"
"10252","RP11-756G20.1"
"10253","CLLU1OS"
"10254","CLLU1"
"10255","RP11-693J15.5"
"10256","PLEKHG7"
"10257","EEA1"
"10258","RP11-511B23.1"
"10259","NUDT4"
"10260","UBE2N"
"10261","MRPL42"
"10262","SOCS2"
"10263","CRADD"
"10264","PLXNC1"
"10265","RP11-1105G2.3"
"10266","CEP83"
"10267","CEP83-AS1"
"10268","TMCC3"
"10269","NDUFA12"
"10270","NR2C1"
"10271","FGD6"
"10272","VEZT"
"10273","METAP2"
"10274","USP44"
"10275","NTN4"
"10276","SNRPF"
"10277","AMDHD1"
"10278","HAL"
"10279","LTA4H"
"10280","ELK3"
"10281","CDK17"
"10282","CFAP54"
"10283","NEDD1"
"10284","RP11-181C3.1"
"10285","TMPO-AS1"
"10286","TMPO"
"10287","SLC25A3"
"10288","IKBIP"
"10289","APAF1"
"10290","ANKS1B"
"10291","UHRF1BP1L"
"10292","ACTR6"
"10293","DEPDC4"
"10294","SCYL2"
"10295","GAS2L3"
"10296","UTP20"
"10297","ARL1"
"10298","CHPT1"
"10299","SYCP3"
"10300","GNPTAB"
"10301","DRAM1"
"10302","RP11-554E23.2"
"10303","CCDC53"
"10304","RP11-554E23.4"
"10305","NUP37"
"10306","PARPBP"
"10307","IGF1"
"10308","C12orf42"
"10309","NT5DC3"
"10310","HSP90B1"
"10311","C12orf73"
"10312","TDG"
"10313","HCFC2"
"10314","NFYB"
"10315","TXNRD1"
"10316","EID3"
"10317","CHST11"
"10318","SLC41A2"
"10319","C12orf45"
"10320","ALDH1L2"
"10321","KIAA1033"
"10322","APPL2"
"10323","C12orf75"
"10324","CKAP4"
"10325","RP11-651L5.3"
"10326","TCP11L2"
"10327","POLR3B"
"10328","RFX4"
"10329","RIC8B"
"10330","RP11-412D9.4"
"10331","TMEM263"
"10332","MTERF2"
"10333","CRY1"
"10334","BTBD11"
"10335","PWP1"
"10336","PRDM4"
"10337","CMKLR1"
"10338","FICD"
"10339","SART3"
"10340","ISCU"
"10341","TMEM119"
"10342","SELPLG"
"10343","CORO1C"
"10344","SSH1"
"10345","SVOP"
"10346","USP30"
"10347","USP30-AS1"
"10348","ALKBH2"
"10349","UNG"
"10350","ACACB"
"10351","KCTD10"
"10352","UBE3B"
"10353","MMAB"
"10354","MVK"
"10355","TRPV4"
"10356","GLTP"
"10357","TCHP"
"10358","GIT2"
"10359","ANKRD13A"
"10360","C12orf76"
"10361","IFT81"
"10362","ATP2A2"
"10363","ANAPC7"
"10364","ARPC3"
"10365","GPN3"
"10366","FAM216A"
"10367","VPS29"
"10368","RAD9B"
"10369","PPTC7"
"10370","TCTN1"
"10371","HVCN1"
"10372","PPP1CC"
"10373","MYL2"
"10374","CUX2"
"10375","FAM109A"
"10376","RP3-473L9.4"
"10377","SH2B3"
"10378","ATXN2"
"10379","BRAP"
"10380","ACAD10"
"10381","ALDH2"
"10382","MAPKAPK5-AS1"
"10383","MAPKAPK5"
"10384","TMEM116"
"10385","ERP29"
"10386","RP1-267L14.6"
"10387","NAA25"
"10388","TRAFD1"
"10389","HECTD4"
"10390","RPL6"
"10391","PTPN11"
"10392","RPH3A"
"10393","OAS1"
"10394","OAS3"
"10395","OAS2"
"10396","DTX1"
"10397","RASAL1"
"10398","CFAP73"
"10399","DDX54"
"10400","RITA1"
"10401","IQCD"
"10402","TPCN1"
"10403","SLC8B1"
"10404","PLBD2"
"10405","SDS"
"10406","SDSL"
"10407","RBM19"
"10408","MED13L"
"10409","MAP1LC3B2"
"10410","C12orf49"
"10411","RNFT2"
"10412","HRK"
"10413","FBXW8"
"10414","TESC"
"10415","FBXO21"
"10416","RFC5"
"10417","WSB2"
"10418","VSIG10"
"10419","PEBP1"
"10420","TAOK3"
"10421","SUDS3"
"10422","RP11-131L12.3"
"10423","PRKAB1"
"10424","CIT"
"10425","CCDC64"
"10426","RAB35"
"10427","RP1-267D11.6"
"10428","GCN1"
"10429","RPLP0"
"10430","PXN-AS1"
"10431","PXN"
"10432","SIRT4"
"10433","PLA2G1B"
"10434","COX6A1"
"10435","TRIAP1"
"10436","GATC"
"10437","SRSF9"
"10438","DYNLL1"
"10439","NRAV"
"10440","COQ5"
"10441","RNF10"
"10442","POP5"
"10443","MLEC"
"10444","UNC119B"
"10445","ACADS"
"10446","SPPL3"
"10447","C12orf43"
"10448","OASL"
"10449","P2RX7"
"10450","RP11-340F14.6"
"10451","P2RX4"
"10452","CAMKK2"
"10453","ANAPC5"
"10454","RNF34"
"10455","KDM2B"
"10456","ORAI1"
"10457","MORN3"
"10458","TMEM120B"
"10459","RHOF"
"10460","LINC01089"
"10461","RP11-347I19.7"
"10462","SETD1B"
"10463","HPD"
"10464","PSMD9"
"10465","RP11-87C12.2"
"10466","WDR66"
"10467","RP11-87C12.5"
"10468","BCL7A"
"10469","MLXIP"
"10470","DIABLO"
"10471","VPS33A"
"10472","CLIP1"
"10473","ZCCHC8"
"10474","RP11-15J22.8"
"10475","RSRC2"
"10476","KNTC1"
"10477","RP11-324E6.10"
"10478","HCAR2"
"10479","HCAR3"
"10480","DENR"
"10481","CCDC62"
"10482","HIP1R"
"10483","VPS37B"
"10484","ABCB9"
"10485","OGFOD2"
"10486","ARL6IP4"
"10487","PITPNM2"
"10488","MPHOSPH9"
"10489","C12orf65"
"10490","CDK2AP1"
"10491","SBNO1"
"10492","RP13-942N8.1"
"10493","KMT5A"
"10494","RILPL2"
"10495","SNRNP35"
"10496","RILPL1"
"10497","RP11-486O12.2"
"10498","TMED2"
"10499","DDX55"
"10500","EIF2B1"
"10501","GTF2H3"
"10502","TCTN2"
"10503","RP11-338K17.8"
"10504","ATP6V0A2"
"10505","DNAH10"
"10506","CCDC92"
"10507","ZNF664"
"10508","NCOR2"
"10509","SCARB1"
"10510","UBC"
"10511","DHX37"
"10512","BRI3BP"
"10513","AACS"
"10514","LINC00944"
"10515","SLC15A4"
"10516","GLT1D1"
"10517","PIWIL1"
"10518","STX2"
"10519","RAN"
"10520","ADGRD1"
"10521","SFSWAP"
"10522","MMP17"
"10523","ULK1"
"10524","PUS1"
"10525","EP400"
"10526","EP400NL"
"10527","DDX51"
"10528","NOC4L"
"10529","RP13-977J11.2"
"10530","RP13-714J12.1"
"10531","FBRSL1"
"10532","POLE"
"10533","PXMP2"
"10534","PGAM5"
"10535","ANKLE2"
"10536","GOLGA3"
"10537","CHFR"
"10538","RP11-46H11.12"
"10539","RP11-46H11.3"
"10540","ZNF605"
"10541","ZNF26"
"10542","ZNF84"
"10543","ZNF140"
"10544","ZNF891"
"10545","ZNF10"
"10546","ZNF268"
"10547","AL356585.2"
"10548","MPHOSPH8"
"10549","PSPC1"
"10550","ZMYM5"
"10551","RP11-61K9.3"
"10552","ZMYM2"
"10553","CRYL1"
"10554","IFT88"
"10555","RP11-172H24.4"
"10556","IL17D"
"10557","N6AMT2"
"10558","XPO4"
"10559","LATS2"
"10560","LATS2-AS1"
"10561","SAP18"
"10562","SKA3"
"10563","MRPL57"
"10564","LINC00539"
"10565","ZDHHC20"
"10566","MICU2"
"10567","FGF9"
"10568","LINC00540"
"10569","SACS"
"10570","TNFRSF19"
"10571","MIPEP"
"10572","C1QTNF9B-AS1"
"10573","SPATA13"
"10574","PARP4"
"10575","CENPJ"
"10576","PABPC3"
"10577","MTMR6"
"10578","NUP58"
"10579","ATP8A2"
"10580","SHISA2"
"10581","RNF6"
"10582","RP11-380N8.7"
"10583","CDK8"
"10584","WASF3"
"10585","GPR12"
"10586","USP12"
"10587","USP12-AS2"
"10588","RPL21"
"10589","RASL11A"
"10590","GTF3A"
"10591","MTIF3"
"10592","LNX2"
"10593","POLR1D"
"10594","ATP5EP2"
"10595","FLT3"
"10596","PAN3-AS1"
"10597","PAN3"
"10598","FLT1"
"10599","POMP"
"10600","SLC46A3"
"10601","SLC7A1"
"10602","UBL3"
"10603","LINC00544"
"10604","LINC00384"
"10605","KATNAL1"
"10606","LINC00426"
"10607","HMGB1"
"10608","USPL1"
"10609","ALOX5AP"
"10610","HSPH1"
"10611","B3GLCT"
"10612","FRY-AS1"
"10613","FRY"
"10614","BRCA2"
"10615","N4BP2L1"
"10616","N4BP2L2"
"10617","PDS5B"
"10618","RP11-380B4.3"
"10619","KL"
"10620","STARD13"
"10621","RFC3"
"10622","NBEA"
"10623","SOHLH2"
"10624","CCDC169"
"10625","SPG20"
"10626","RFXAP"
"10627","ALG5"
"10628","EXOSC8"
"10629","SUPT20H"
"10630","RP11-93G5.1"
"10631","UFM1"
"10632","PROSER1"
"10633","NHLRC3"
"10634","LHFP"
"10635","COG6"
"10636","FOXO1"
"10637","MRPS31"
"10638","SLC25A15"
"10639","ELF1"
"10640","WBP4"
"10641","KBTBD6"
"10642","RP11-74J13.8"
"10643","KBTBD7"
"10644","MTRF1"
"10645","NAA16"
"10646","RGCC"
"10647","VWA8"
"10648","DGKH"
"10649","AKAP11"
"10650","TNFSF11"
"10651","EPSTI1"
"10652","DNAJC15"
"10653","CCDC122"
"10654","LACC1"
"10655","SMIM2-AS1"
"10656","SERP2"
"10657","TSC22D1"
"10658","TSC22D1-AS1"
"10659","NUFIP1"
"10660","GPALPP1"
"10661","GTF2F2"
"10662","TPT1"
"10663","RP11-290D2.6"
"10664","TPT1-AS1"
"10665","SLC25A30"
"10666","SLC25A30-AS1"
"10667","COG3"
"10668","ZC3H13"
"10669","CPB2-AS1"
"10670","LCP1"
"10671","LRRC63"
"10672","KIAA0226L"
"10673","LRCH1"
